Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker
No Account,9,No Problems (in this bank),Home Related,2799,None,< 1yr,2,None,2,1,36,Other Banks/Depts,1,More than 1,1,2,1,1
No Account,12,No Problems (in this bank),Home Related,2122,None,< 1yr,3,None,2,1,39,Other Banks/Depts,1,More than 1,1,2,1,2
No Account,24,Paid Up,Home Related,3758,£100-£1000,< 1yr,1,None,4,4,23,Other Banks/Depts,1,1,1,1,1,1
No Account,11,No Problems (in this bank),Home Related,3905,None,< 1yr,2,None,2,1,36,Other Banks/Depts,1,More than 1,1,2,1,1
No Account,6,No Problems (in this bank),Home Related,1957,None,1-4 yrs,1,None,4,3,31,Other Banks/Depts,2,1,1,1,1,1
No Account,6,Paid Up,Home Related,2647,£100-£1000,< 1yr,2,None,3,1,44,Other Banks/Depts,1,1,1,2,1,1
No Account,36,No Problems (in this bank),Home Related,2337,None,4-7 yrs,4,None,4,1,36,Other Banks/Depts,2,1,1,1,1,1
Some Balance,11,No Problems (in this bank),Home Related,7228,None,< 1yr,1,None,4,2,39,Other Banks/Depts,2,More than 1,1,1,1,1
No Account,36,Paid Up,Home Related,2384,None,< 1yr,4,None,1,4,33,Other Banks/Depts,1,1,1,1,1,1
No Account,11,No Problems (in this bank),Home Related,4771,None,1-4 yrs,2,None,4,2,51,Other Banks/Depts,2,1,1,1,1,1
Some Balance,15,Paid Up,Home Related,3556,£100-£1000,< 1yr,3,None,2,4,29,Other Banks/Depts,2,1,1,1,1,1
Some Balance,42,No Problems (in this bank),New car,4796,None,4-7 yrs,4,None,4,4,56,Other Banks/Depts,3,1,1,1,1,1
Some Balance,36,No Problems (in this bank),Home Related,6614,None,4-7 yrs,4,None,4,3,34,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,15,Paid Up,Home Related,1721,None,< 1yr,2,None,3,1,36,Other Banks/Depts,2,1,1,1,1,1
No Account,6,No Problems (in this bank),Home Related,860,None,4-7 yrs,1,None,4,4,39,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,1495,None,4-7 yrs,4,None,1,1,38,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,12,No Problems (in this bank),Home Related,1934,None,4-7 yrs,2,None,2,4,26,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,18,Paid Up,New car,3378,£100-£1000,< 1yr,2,None,1,2,31,Other Banks/Depts,2,1,1,1,2,1
No Account,24,Paid Up,Home Related,1755,None,4-7 yrs,4,Yes,4,1,58,Other Banks/Depts,2,1,1,1,2,1
No Account,18,Paid Up,Home Related,1239,£100-£1000,< 1yr,4,None,4,4,61,Other Banks/Depts,3,1,1,1,1,1
Some Balance,24,Paid Up,Home Related,1474,< £100,< 1yr,4,None,3,1,33,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,Paid Up,Home Related,640,None,< 1yr,4,None,2,1,49,Other Banks/Depts,2,1,1,1,1,1
Some Balance,36,Paid Up,Home Related,3919,None,< 1yr,2,None,2,1,23,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,2331,£100-£1000,4-7 yrs,1,Yes,4,1,49,Other Banks/Depts,2,1,1,1,2,1
Some Balance,24,Paid Up,New car,6313,£100-£1000,4-7 yrs,3,None,4,3,41,Other Banks/Depts,2,1,1,2,2,1
Some Balance,12,No Problems (in this bank),Home Related,1655,None,4-7 yrs,2,None,4,1,63,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,15,Paid Up,Home Related,1053,None,< 1yr,4,None,2,1,27,Other Banks/Depts,2,1,1,1,1,2
Some Balance,12,No Problems (in this bank),Home Related,1163,£100-£1000,< 1yr,4,None,4,1,44,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,No Problems (in this bank),Home Related,10875,None,4-7 yrs,2,None,2,3,45,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,12,No Problems (in this bank),Home Related,1344,None,< 1yr,4,None,2,1,43,Other Banks/Depts,2,More than 1,1,2,1,1
Some Balance,6,No Problems (in this bank),Home Related,1237,< £100,< 1yr,1,None,1,2,27,Other Banks/Depts,2,More than 1,1,1,1,1
Some Balance,12,Paid Up,Home Related,3077,None,< 1yr,2,None,4,3,52,Other Banks/Depts,2,1,1,1,2,1
Some Balance,24,Paid Up,Home Related,2284,None,1-4 yrs,4,None,2,3,28,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Home Related,1567,None,< 1yr,1,None,1,3,22,Other Banks/Depts,2,1,1,1,2,1
Some Balance,24,No Problems (in this bank),Home Related,2032,None,4-7 yrs,4,None,4,4,60,Other Banks/Depts,3,More than 1,1,1,2,1
No Account,21,No Problems (in this bank),Home Related,1602,None,4-7 yrs,4,None,3,3,30,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,15,Paid Up,Home Related,1979,£100-£1000,4-7 yrs,4,None,2,3,35,Other Banks/Depts,2,1,1,1,1,1
Some Balance,36,No Problems (in this bank),Home Related,3342,£100-£1000,4-7 yrs,4,None,2,3,51,Other Banks/Depts,2,1,1,1,2,1
No Account,18,Paid Up,Home Related,5866,< £100,< 1yr,2,None,2,3,30,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,15,No Problems (in this bank),New car,2360,£100-£1000,< 1yr,2,None,2,3,36,Other Banks/Depts,2,1,1,1,2,1
No Account,12,Paid Up,Home Related,3651,£100-£1000,< 1yr,1,None,3,2,31,Other Banks/Depts,2,1,1,2,1,1
No Account,18,No Problems (in this bank),Used car,6361,None,4-7 yrs,2,None,1,4,41,Other Banks/Depts,2,1,1,1,2,1
Some Balance,27,No Problems (in this bank),Used car,4526,£100-£1000,< 1yr,4,None,2,1,32,Other Banks/Depts,2,More than 1,1,2,2,1
No Account,9,Paid Up,Used car,2136,None,< 1yr,3,None,2,1,25,Other Banks/Depts,2,1,1,1,1,1
Some Balance,24,No Problems (in this bank),Used car,3777,£100-£1000,< 1yr,4,None,4,1,40,Other Banks/Depts,2,1,1,1,2,1
No Account,15,Paid Up,Home Related,806,None,< 1yr,4,None,4,2,22,Other Banks/Depts,2,1,1,1,1,1
No Account,24,No Problems (in this bank),Home Related,4712,£100-£1000,< 1yr,4,None,2,2,34,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,12,No Problems (in this bank),Home Related,1412,None,< 1yr,4,Yes,2,1,29,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,24,Paid Up,Home Related,1533,None,< 1yr,4,None,3,3,38,Other Banks/Depts,2,1,1,1,2,1
No Account,15,Paid Up,Home Related,3959,None,< 1yr,3,None,2,2,29,Other Banks/Depts,2,1,1,1,2,1
No Account,6,Paid Up,Used car,428,None,4-7 yrs,2,None,1,2,49,Other Banks/Depts,2,1,1,1,2,1
No Account,12,No Problems (in this bank),Home Related,2366,£100-£1000,1-4 yrs,3,None,3,3,36,Other Banks/Depts,2,1,1,1,2,1
No Account,18,Paid Up,Home Related,6260,None,1-4 yrs,3,None,3,1,28,Other Banks/Depts,1,1,1,1,1,1
Some Balance,24,Paid Up,New car,2603,£100-£1000,< 1yr,2,None,4,3,28,Other Banks/Depts,1,1,1,1,2,1
Some Balance,24,Paid Up,Used car,3062,£100-£1000,4-7 yrs,4,None,3,4,32,Other Banks/Depts,1,1,1,1,2,1
No Account,36,Paid Up,Home Related,4795,None,< 1yr,4,None,1,4,30,Other Banks/Depts,2,1,1,1,2,1
Some Balance,36,No Problems (in this bank),New car,5842,None,4-7 yrs,2,None,2,2,35,Other Banks/Depts,2,More than 1,1,2,2,1
Some Balance,15,Paid Up,Home Related,1213,£100-£1000,4-7 yrs,4,None,3,2,47,Other Banks/Depts,2,1,1,1,2,1
Some Balance,15,Paid Up,Home Related,874,£100-£1000,< 1yr,4,None,1,1,24,Other Banks/Depts,2,1,1,1,1,1
Some Balance,18,Paid Up,Home Related,1820,None,< 1yr,2,None,2,2,30,Other Banks/Depts,2,1,1,1,2,1
Some Balance,24,No Problems (in this bank),Home Related,3148,£100-£1000,< 1yr,3,None,2,3,31,Other Banks/Depts,2,More than 1,1,1,2,1
Some Balance,36,Paid Up,Home Related,3835,£100-£1000,4-7 yrs,2,None,4,1,45,Other Banks/Depts,2,1,1,1,2,1
Some Balance,9,Paid Up,Home Related,3832,£100-£1000,4-7 yrs,1,None,4,1,64,Other Banks/Depts,2,1,1,1,1,1
No Account,24,Paid Up,Home Related,5084,£100-£1000,4-7 yrs,2,None,4,3,42,Other Banks/Depts,2,1,1,1,2,1
Some Balance,21,Paid Up,New car,2476,£100-£1000,4-7 yrs,4,None,4,1,46,Other Banks/Depts,2,1,1,1,2,1
No Account,24,Paid Up,New car,2964,£100-£1000,4-7 yrs,4,None,4,4,49,Other Banks/Depts,3,1,1,2,2,1
No Account,12,Paid Up,Used car,1262,£100-£1000,4-7 yrs,2,None,4,2,49,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,Paid Up,Home Related,1542,None,1-4 yrs,2,None,4,3,36,Other Banks/Depts,2,1,1,1,2,1
Some Balance,12,Some Problems,Home Related,409,£100-£1000,< 1yr,3,None,3,1,42,Other Banks/Depts,1,More than 1,1,1,1,1
No Account,24,Paid Up,Home Related,3512,< £100,1-4 yrs,2,None,3,3,38,Other Banks/Depts,2,More than 1,1,1,2,1
No Account,12,Paid Up,Home Related,1498,None,< 1yr,4,None,1,3,23,Other Banks/Depts,2,1,1,1,1,1
